127.0.0.1 - - [06/Mar/2014:01:13:18 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [06/Mar/2014:01:13:20 +0530] "GET /ProductAdviceSeeker/ HTTP/1.1" 404 991
0:0:0:0:0:0:0:1 - - [06/Mar/2014:01:14:52 +0530] "GET /ProductAdviceSeeker/faces/pages/test.xhtml HTTP/1.1" 200 1145
0:0:0:0:0:0:0:1 - - [06/Mar/2014:01:14:52 +0530] "GET /ProductAdviceSeeker/faces/javax.faces.resource/editor/editor.css?ln=primefaces&v=4.0 HTTP/1.1" 200 1626
0:0:0:0:0:0:0:1 - - [06/Mar/2014:01:14:52 +0530] "GET /ProductAdviceSeeker/faces/javax.faces.resource/theme.css?ln=primefaces-aristo HTTP/1.1" 200 28283
0:0:0:0:0:0:0:1 - - [06/Mar/2014:01:14:52 +0530] "GET /ProductAdviceSeeker/faces/javax.faces.resource/jquery/jquery.js?ln=primefaces&v=4.0 HTTP/1.1" 200 105493
0:0:0:0:0:0:0:1 - - [06/Mar/2014:01:14:52 +0530] "GET /ProductAdviceSeeker/faces/javax.faces.resource/jquery/jquery-plugins.js?ln=primefaces&v=4.0 HTTP/1.1" 200 220747
0:0:0:0:0:0:0:1 - - [06/Mar/2014:01:14:52 +0530] "GET /ProductAdviceSeeker/faces/javax.faces.resource/editor/editor.js?ln=primefaces&v=4.0 HTTP/1.1" 200 14565
0:0:0:0:0:0:0:1 - - [06/Mar/2014:01:14:52 +0530] "GET /ProductAdviceSeeker/faces/javax.faces.resource/primefaces.js?ln=primefaces&v=4.0 HTTP/1.1" 200 277201
0:0:0:0:0:0:0:1 - - [06/Mar/2014:01:14:53 +0530] "GET /ProductAdviceSeeker/faces/javax.faces.resource/editor/images/toolbar.gif?ln=primefaces&v=4.0 HTTP/1.1" 200 68
0:0:0:0:0:0:0:1 - - [06/Mar/2014:01:14:53 +0530] "GET /ProductAdviceSeeker/faces/javax.faces.resource/editor/images/buttons.gif?ln=primefaces&v=4.0 HTTP/1.1" 200 3064
0:0:0:0:0:0:0:1 - - [06/Mar/2014:01:15:52 +0530] "GET /ProductAdviceSeeker/faces/pages/test2.xhtml HTTP/1.1" 200 927
0:0:0:0:0:0:0:1 - - [06/Mar/2014:01:15:52 +0530] "GET /ProductAdviceSeeker/faces/javax.faces.resource/primefaces.css?ln=primefaces&v=4.0 HTTP/1.1" 200 53496
0:0:0:0:0:0:0:1 - - [06/Mar/2014:01:21:07 +0530] "GET /ProductAdviceSeeker/faces/pages/desktop.xhtml HTTP/1.1" 500 3912
0:0:0:0:0:0:0:1 - - [06/Mar/2014:01:21:53 +0530] "GET /ProductAdviceSeeker/faces/pages/desktop.xhtml HTTP/1.1" 200 1812
0:0:0:0:0:0:0:1 - - [06/Mar/2014:01:21:53 +0530] "GET /ProductAdviceSeeker/faces/javax.faces.resource/theme.css?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2014:01:21:53 +0530] "GET /ProductAdviceSeeker/faces/javax.faces.resource/jquery/jquery.js?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2014:01:21:53 +0530] "GET /ProductAdviceSeeker/faces/javax.faces.resource/jquery/jquery-plugins.js?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2014:01:21:53 +0530] "GET /ProductAdviceSeeker/faces/javax.faces.resource/primefaces.js?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2014:01:21:53 +0530] "GET /ProductAdviceSeeker/faces/javax.faces.resource/primefaces.css?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2014:01:21:53 +0530] "GET /ProductAdviceSeeker/faces/javax.faces.resource/images/ui-bg_inset-hard_65_85b2cb_1x100.png?ln=primefaces-aristo HTTP/1.1" 200 2832
0:0:0:0:0:0:0:1 - - [06/Mar/2014:01:21:53 +0530] "GET /ProductAdviceSeeker/faces/javax.faces.resource/images/ui-icons_38667f_256x240.png?ln=primefaces-aristo HTTP/1.1" 200 4369
0:0:0:0:0:0:0:1 - - [06/Mar/2014:01:21:53 +0530] "GET /ProductAdviceSeeker/faces/javax.faces.resource/images/ui-bg_highlight-hard_80_c4c4c4_1x100.png?ln=primefaces-aristo HTTP/1.1" 200 2822
0:0:0:0:0:0:0:1 - - [06/Mar/2014:01:21:53 +0530] "GET /ProductAdviceSeeker/faces/javax.faces.resource/images/ui-bg_highlight-hard_80_85b2cb_1x100.png?ln=primefaces-aristo HTTP/1.1" 200 2838
0:0:0:0:0:0:0:1 - - [06/Mar/2014:01:21:54 +0530] "GET /ProductAdviceSeeker/faces/javax.faces.resource/images/ui-bg_highlight-hard_80_c4c4c4_1x100.png?ln=primefaces-aristo HTTP/1.1" 200 2822
